"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
31/12/1950,46.007,,
31/12/1951,46.048,0.09,
31/12/1952,46.09,0.09,
31/12/1953,46.132,0.09,
31/12/1954,46.174,0.09,
31/12/1955,46.216,0.09,
31/12/1956,46.257,0.09,
31/12/1957,46.299,0.09,
31/12/1958,46.341,0.09,
31/12/1959,46.32,-0.05,
31/12/1960,46.3,-0.04,
31/12/1961,46.279,-0.05,
31/12/1962,46.259,-0.04,
31/12/1963,46.238,-0.05,
31/12/1964,46.155,-0.18,
31/12/1965,46.071,-0.18,
31/12/1966,45.988,-0.18,
31/12/1967,45.904,-0.18,
31/12/1968,45.821,-0.18,
31/12/1969,46.043,0.48,
31/12/1970,46.264,0.48,
31/12/1971,46.486,0.48,
31/12/1972,46.707,0.48,
31/12/1973,46.929,0.48,
31/12/1974,46.991,0.13,
31/12/1975,47.053,0.13,
31/12/1976,47.116,0.13,
31/12/1977,47.178,0.13,
31/12/1978,47.24,0.13,
31/12/1979,47.065,-0.37,
31/12/1980,46.891,-0.37,
31/12/1981,46.716,-0.37,
31/12/1982,46.542,-0.37,
31/12/1983,46.367,-0.38,
31/12/1984,46.079,-0.62,
31/12/1985,45.79,-0.63,
31/12/1986,45.502,-0.63,
31/12/1987,45.213,-0.64,
31/12/1988,44.925,-0.64,
31/12/1989,44.69,-0.52,
31/12/1990,44.455,-0.53,
31/12/1991,44.221,-0.53,
31/12/1992,43.986,-0.53,
31/12/1993,43.751,-0.53,
31/12/1994,43.656,-0.22,
31/12/1995,43.561,-0.22,
31/12/1996,43.465,-0.22,
31/12/1997,43.37,-0.22,
31/12/1998,43.275,-0.22,
31/12/1999,43.211,-0.15,
31/12/2000,43.147,-0.15,
31/12/2001,43.084,-0.15,
31/12/2002,43.02,-0.15,
31/12/2003,42.956,-0.15,
31/12/2004,42.753,-0.47,
31/12/2005,42.551,-0.47,
31/12/2006,42.348,-0.48,
31/12/2007,42.146,-0.48,
31/12/2008,41.943,-0.48,
31/12/2009,41.658,-0.68,
31/12/2010,41.374,-0.68,
31/12/2011,41.089,-0.69,
31/12/2012,40.805,-0.69,
31/12/2013,40.52,-0.7,
31/12/2014,40.036,-1.19,
31/12/2015,39.551,-1.21,
31/12/2016,39.067,-1.22,
31/12/2017,38.582,-1.24,
31/12/2018,38.098,-1.25,
31/12/2019,37.684,-1.09,
31/12/2020,37.269,-1.1,
31/12/2021,36.855,-1.11,
31/12/2022,36.44,-1.13,
31/12/2023,36.026,-1.14,
31/12/2024,35.683,-0.95,
31/12/2025,35.341,-0.96,
31/12/2026,34.998,-0.97,
31/12/2027,34.656,-0.98,
31/12/2028,34.313,-0.99,
31/12/2029,33.989,-0.94,
31/12/2030,33.666,-0.95,
31/12/2031,33.342,-0.96,
31/12/2032,33.019,-0.97,
31/12/2033,32.695,-0.98,
31/12/2034,32.363,-1.02,
31/12/2035,32.031,-1.03,
31/12/2036,31.698,-1.04,
31/12/2037,31.366,-1.05,
31/12/2038,31.034,-1.06,
31/12/2039,30.688,-1.11,
31/12/2040,30.343,-1.12,
31/12/2041,29.997,-1.14,
31/12/2042,29.652,-1.15,
31/12/2043,29.306,-1.17,
31/12/2044,28.954,-1.2,
31/12/2045,28.602,-1.22,
31/12/2046,28.25,-1.23,
31/12/2047,27.898,-1.25,
31/12/2048,27.546,-1.26,
31/12/2049,27.238,-1.12,
31/12/2050,26.929,-1.13,
31/12/2051,26.621,-1.14,
31/12/2052,26.312,-1.16,
31/12/2053,26.004,-1.17,
31/12/2054,25.704,-1.15,
31/12/2055,25.403,-1.17,
31/12/2056,25.103,-1.18,
31/12/2057,24.802,-1.2,
31/12/2058,24.502,-1.21,
31/12/2059,24.239,-1.07,
31/12/2060,23.977,-1.08,
31/12/2061,23.714,-1.1,
31/12/2062,23.452,-1.1,
31/12/2063,23.189,-1.12,
31/12/2064,22.945,-1.05,
31/12/2065,22.701,-1.06,
31/12/2066,22.456,-1.08,
31/12/2067,22.212,-1.09,
31/12/2068,21.968,-1.1,
31/12/2069,21.746,-1.01,
31/12/2070,21.524,-1.02,
31/12/2071,21.301,-1.04,
31/12/2072,21.079,-1.04,
31/12/2073,20.857,-1.05,
31/12/2074,20.651,-0.99,
31/12/2075,20.445,-1,
31/12/2076,20.24,-1,
31/12/2077,20.034,-1.02,
31/12/2078,19.828,-1.03,
31/12/2079,19.63,-1,
31/12/2080,19.431,-1.01,
31/12/2081,19.233,-1.02,
31/12/2082,19.034,-1.03,
31/12/2083,18.836,-1.04,
31/12/2084,18.658,-0.94,
31/12/2085,18.48,-0.95,
31/12/2086,18.301,-0.97,
31/12/2087,18.123,-0.97,
31/12/2088,17.945,-0.98,
31/12/2089,17.79,-0.86,
31/12/2090,17.635,-0.87,
31/12/2091,17.479,-0.88,
31/12/2092,17.324,-0.89,
31/12/2093,17.169,-0.89,
31/12/2094,17.03,-0.81,
31/12/2095,16.89,-0.82,
31/12/2096,16.751,-0.82,
31/12/2097,16.611,-0.84,
31/12/2098,16.472,-0.84,
31/12/2099,16.333,-0.84,
31/12/2100,16.193,-0.86,
